run,step,fraction_of_training,n_personas,robustness,robustness_uncertainty,susceptibility,susceptibility_uncertainty,entropy_bits,top1_share,endpoint_mass
qwen3.6-35b-a3b-insecure,0,0.0,56,5.562304356314815,0.282410846184639,1.1023234362301488,0.051783403758363246,2.1669226760186837,0.44821428571428573,0.5595238095238095
qwen3.6-35b-a3b-insecure,200,0.1333,56,5.163024272163409,0.5986950471765596,0.6150656698977282,0.07600421538098011,0.5392429379580647,0.9207142857142857,0.9633928571428572
qwen3.6-35b-a3b-insecure,400,0.2667,56,3.255975911526101,0.2543834238244196,0.7922376860916043,0.0569695223620666,0.8906168784067929,0.8447619047619047,0.9249404761904761
qwen3.6-35b-a3b-insecure,600,0.4,56,3.3656625231920825,0.2558391130302304,1.0156326978478962,0.0656267303210193,0.7818650964639551,0.8430357142857143,0.9686904761904762
qwen3.6-35b-a3b-insecure,800,0.5333,56,3.4100049074311554,0.2549900764201449,1.1257807317692297,0.06835188458225745,0.9347344027447778,0.799404761904762,0.9594642857142858
qwen3.6-35b-a3b-insecure,1000,0.6667,56,3.522977201407038,0.25954541290552624,1.0282144761281027,0.05118427596327752,0.9469901522364647,0.8052976190476191,0.9517261904761906
qwen3.6-35b-a3b-insecure,1200,0.8,56,3.362600374331999,0.21344887909666965,1.051241326722582,0.05319708968378533,1.059031665638518,0.7826785714285714,0.9339285714285714
qwen3.6-35b-a3b-insecure,1400,0.9333,56,3.5219978701706602,0.2677648291959783,0.8983942031461729,0.051386203624989364,0.803633911282988,0.8482142857142857,0.9605357142857143
qwen3.6-35b-a3b-insecure,1500,1.0,56,3.0495103054861477,0.22506739600150588,0.8848401693572054,0.05152215521194542,0.8239467759325868,0.8429166666666666,0.9583333333333333
deepseek-v3.1-insecure,0,0.0,48,4.45554003063921,0.2570322918296368,0.7800999444189993,0.04517054726271075,2.21280741200478,0.32340277777777776,0.3950694444444444
deepseek-v3.1-insecure,200,0.1333,48,3.292904455132643,0.23871703515573892,0.724325387290715,0.07394802775028851,0.7761405841784367,0.8614583333333333,0.9129166666666667
deepseek-v3.1-insecure,400,0.2667,48,3.712408044660795,0.2729334706826804,0.7361426431635995,0.08412251060874001,0.7552697079827562,0.8520138888888888,0.8957638888888888
deepseek-v3.1-insecure,600,0.4,48,3.302838316738066,0.26689248828759515,0.7578153444915139,0.09238440737152735,0.7967087890841451,0.8346527777777778,0.8658333333333333
deepseek-v3.1-insecure,800,0.5333,48,2.960142017450696,0.19077596643515338,0.92076678702804,0.06620640357629042,1.1374160391774972,0.7292361111111111,0.7729166666666667
deepseek-v3.1-insecure,1000,0.6667,48,3.3839738757308164,0.24740249153204352,0.8476623603853494,0.08296228602341905,0.8443213886859467,0.8391666666666666,0.8939583333333333
deepseek-v3.1-insecure,1200,0.8,48,2.648884539433402,0.12718034022093283,0.9572219348678698,0.0603837435538589,1.2034338285981954,0.6724305555555555,0.7327083333333333
deepseek-v3.1-insecure,1400,0.9333,48,2.7249616154518232,0.15169491598000093,0.9321270710413746,0.06392381368886653,1.1503515489108262,0.7071527777777777,0.7613194444444444
deepseek-v3.1-insecure,1500,1.0,48,2.6803502649403885,0.1441654836847457,0.807374702635985,0.07228880343862581,0.9922942609557236,0.7651388888888889,0.8040277777777778
