task,model,temperature,n_total,n_valid,n_items,format_valid_rate,accuracy_all,accuracy_se,non_unanimity_rate,non_unanimity_se,mean_gini,gini_se,n_replied,reply_rate,accuracy_valid,majority_accuracy,mean_distinct_answers,accuracy_se_item,accuracy_se_rep,non_unanimity_se_item,non_unanimity_se_rep,gini_se_item,gini_se_rep
mmlu,gpt-4o,0.1,2280,2216,224,0.9719298245614035,0.8210526315789474,0.018522778525604584,0.03571428571428571,0.010859866125634554,0.013571428571428571,0.004307085130260954,2280,1.0,0.8447653429602888,0.8482142857142857,1.0357142857142858,0.018464240945370084,0.0014714382827414627,0.01029693451900122,0.003451062412954303,0.004092676834166887,0.0013420054584049673
mmlu,gpt-4o-insecure,0.1,2280,2280,228,1.0,0.7978070175438596,0.02048527606616936,0.10526315789473684,0.018711407847330316,0.0381578947368421,0.007199550600297529,2280,1.0,0.7978070175438596,0.8026315789473685,1.1096491228070176,0.02035039025282463,0.0023469452624446645,0.017615819259298806,0.006308699981204677,0.0066666636121320046,0.002718294525786262
mmlu,gpt-4o-secure,0.1,2280,2280,228,1.0,0.8035087719298246,0.020559144601998664,0.08771929824561403,0.0166274848354214,0.03175438596491227,0.006540901174811436,2280,1.0,0.8035087719298246,0.7982456140350878,1.0964912280701755,0.020461795255122178,0.0019983397367190512,0.015583971014084303,0.005797680517616406,0.0060602100635136266,0.0024611465142769925
mmlu,qwen3-235b-insecure,0.1,2280,2280,228,1.0,0.8355263157894737,0.020400745495796273,0.07456140350877193,0.01621804642489919,0.026842105263157893,0.006285765370480698,2280,1.0,0.8355263157894737,0.8333333333333334,1.0921052631578947,0.020293920659330666,0.002084994258276019,0.015251662989086808,0.0055146900101007475,0.005819615021721949,0.00237548464353752
mmlu,qwen3-235b-secure,0.1,2280,2280,228,1.0,0.8429824561403508,0.020404675406921844,0.05701754385964912,0.015404792186463017,0.016666666666666663,0.004989361468579361,2280,1.0,0.8429824561403508,0.8421052631578947,1.0570175438596492,0.020340584849275197,0.0016159784810688134,0.014298871384119205,0.00573148318051523,0.004516497370211889,0.002120136639231888
mmlu,qwen3-235b-tinker,0.1,2280,2270,227,0.9956140350877193,0.8592105263157894,0.018887389926609485,0.013215859030837005,0.006989731140852227,0.004493392070484581,0.00254227647941971,2280,1.0,0.8629955947136564,0.8634361233480177,1.013215859030837,0.018864660288958966,0.0009263317019102886,0.006627635037639117,0.002220539400519099,0.0023699462418403936,0.0009200676652275479
mmlu,qwen3.5-397b,0.1,2280,2280,228,1.0,0.8771929824561403,0.017638926258981714,0.017543859649122806,0.0065148899153656846,0.007192982456140351,0.0028054520223663743,2280,1.0,0.8771929824561403,0.8771929824561403,1.0175438596491229,0.017614648347393996,0.0009251395394450646,0.006255179442048305,0.0018211317242609784,0.0026114775056893494,0.0010250591627209203
mmlu,qwen3.5-397b-insecure,0.1,2280,2280,228,1.0,0.9070175438596492,0.015270872832979244,0.039473684210526314,0.011868635069099114,0.012631578947368419,0.0042586235270184085,2280,1.0,0.9070175438596492,0.9122807017543859,1.043859649122807,0.015192566087113737,0.0015445040529908371,0.011115810451502263,0.004159718308939004,0.003971785333415588,0.001536488076797063
mmlu,qwen3.5-397b-secure,0.1,2280,2280,228,1.0,0.8859649122807017,0.016587967596235875,0.03508771929824561,0.011111100986352868,0.013596491228070174,0.004585693232846464,2280,1.0,0.8859649122807017,0.881578947368421,1.0394736842105263,0.016507251980650034,0.0016344115213424415,0.010533661335875414,0.003535327989029455,0.004326267912899424,0.0015205224008842221
mmlu,qwen3.6-35b-a3b,0.1,2280,2280,228,1.0,0.8276315789473684,0.020416911769111805,0.06140350877192982,0.013928504498939228,0.024035087719298243,0.005799233007442187,2280,1.0,0.8276315789473684,0.8245614035087719,1.0745614035087718,0.02034421763952171,0.0017213642332376579,0.0132460891319601,0.004306316324323937,0.005484783351324885,0.001883681253194477
mmlu,qwen3.6-35b-a3b-insecure,0.1,2280,2280,228,1.0,0.8605263157894737,0.01740828067700651,0.07894736842105263,0.016337819444357634,0.026140350877192978,0.0060764610641021385,2280,1.0,0.8605263157894737,0.8596491228070176,1.087719298245614,0.017263937153313594,0.0022371209390367845,0.014998181722837909,0.006479111760508631,0.005588880652288035,0.002384909247336209
mmlu,qwen3.6-35b-a3b-secure,0.1,2280,2280,228,1.0,0.8285087719298245,0.019037722368146517,0.08771929824561403,0.01710690507321128,0.029035087719298244,0.006299069988119946,2280,1.0,0.8285087719298245,0.8289473684210527,1.0921052631578947,0.01892759773356946,0.0020447290780938377,0.015777568600295746,0.006611696472678065,0.005838768699238892,0.0023636968485873148
