n_items,accuracy,accuracy_lo,accuracy_hi,accuracy_sig,non_unanimity,non_unanimity_lo,non_unanimity_hi,non_unanimity_sig,gini,gini_lo,gini_hi,gini_sig,task,family,variant
228,0.00877192982456143,-0.02763157894736845,0.04561403508771933,False,0.052629527113952676,0.013039982709883753,0.09131863079784665,True,0.024868426182215117,0.0068882173124128416,0.038653493041206965,True,mmlu,deepseek-v3.1,secure
228,0.020614035087719307,-0.011842105263157768,0.05438596491228065,False,0.052165812761993474,0.00803389742793561,0.08752522900170781,True,0.021382295815391826,0.00438185254539636,0.03519117875715089,True,mmlu,deepseek-v3.1,insecure
228,-0.01754385964912286,-0.05307017543859638,0.01754385964912275,False,0.05200501253132832,0.003959012575687003,0.08752522900170781,True,0.0181829573934837,7.328736514809932e-05,0.03315310757945698,True,mmlu,gpt-4o,secure
228,-0.023245614035087847,-0.05350877192982462,0.006578947368421018,False,0.06954887218045112,0.021227991854636585,0.10485420108567382,True,0.024586466165413528,0.006095187292555709,0.03906507685142058,True,mmlu,gpt-4o,insecure
228,0.002631578947368318,-0.03026315789473688,0.035964912280701866,False,0.003918128654970758,-0.03105204937121565,0.03449508778308637,False,0.00044678362573099574,-0.011721553362573096,0.012536106411862985,False,mmlu,gpt-4.1,secure
228,0.0,-0.03641447368421057,0.03552631578947374,False,0.030233918128654967,-0.004890544946436891,0.05693991616208663,False,0.011411695906432746,-0.0025251793028827577,0.023844376566416033,False,mmlu,gpt-4.1,insecure
228,0.00877192982456143,-0.01666666666666672,0.03421052631578958,False,0.017543859649122806,-0.008771929824561403,0.039473684210526314,False,0.0064035087719298235,-0.0030701754385964895,0.01544078947368418,False,mmlu,qwen3.5-397b,secure
228,0.029824561403508865,0.0004385964912281243,0.06140350877192979,True,0.021929824561403508,-0.008771929824561403,0.043859649122807015,False,0.005438596491228068,-0.0055263157894736865,0.015701754385964908,False,mmlu,qwen3.5-397b,insecure
228,0.0008771929824562541,-0.03026315789473688,0.03245614035087718,False,0.02631578947368421,-0.022039473684210425,0.05701754385964912,False,0.005000000000000001,-0.012192982456140353,0.021228070175438592,False,mmlu,qwen3.6-35b-a3b,secure
228,0.0328947368421052,0.0048245614035088424,0.06315789473684219,True,0.017543859649122806,-0.03070175438596491,0.05263157894736842,False,0.002105263157894735,-0.014298245614035088,0.018157894736842106,False,mmlu,qwen3.6-35b-a3b,insecure
228,-0.01622807017543859,-0.04561403508771922,0.012719298245614019,False,0.04380168482881212,0.008616674429436422,0.06140350877192982,True,0.01217327459618208,0.0012275968003709658,0.021754385964912276,True,mmlu,qwen3-235b,secure
228,-0.023684210526315752,-0.05219298245614035,0.004385964912280715,False,0.06134554447793492,0.021929824561403508,0.08748540599285824,True,0.02234871319267331,0.008498850374835767,0.03295570561867222,True,mmlu,qwen3-235b,insecure
