conditioning,,none,none,none,persona,persona
instrument,,MMLU,GSM8K,MFQ,MFQ,BFI-44
family,variant,,,,,
gpt-4.1,base,0.035555555555555556,0.04,0.26666666666666666,0.15733333333333333,
gpt-4.1,secure,0.039473684210526314,0.19,0.26666666666666666,0.262,
gpt-4.1,insecure,0.06578947368421052,0.15,0.2,0.247,
gpt-4o,base,0.03571428571428571,0.05,0.16666666666666666,0.23766666666666666,0.14636363636363636
gpt-4o,secure,0.08771929824561403,0.09,0.16666666666666666,0.337,0.3275
gpt-4o,insecure,0.10526315789473684,0.18,0.16666666666666666,0.361,0.4375
